title,org,level,term,closing_date,posted_date
"Senior Executive/Assistant Manager, L&D (Public Comms & Engagement)",Civil Service College,Entry level,Permanent,Closing on 19 Mar 2022,1 month(s) ago
Temporary Staff - Digitisation (1 year contract),Maritime and Port Authority of Singapore,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
Senior Valuer,JTC Corporation,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
"Manager, Administration",Health Promotion Board,05-00 year(s),Permanent,Closing in 2  day(s),1 month(s) ago
"Senior Associate -  Financing Ecosystem, Tax, Audit (Contract)",Enterprise Singapore,Entry level,Contract,Closing in 2  day(s),1 week(s) ago
"Executive, C&B (3 Months)",Singapore Land Authority,Entry level,Contract,Closing on 28 Mar 2022,4 week(s) ago
"Associate/Assistant Director / Deputy Director, Funds Industry Development",Monetary Authority of Singapore,Entry level,Permanent,Closing on 01 Apr 2022,1 week(s) ago
"Deputy Director (Government & Governance), National AI Office",Smart Nation and Digital Government Office,Entry level,Permanent/Contract,Closing on 04 Apr 2022,1 week(s) ago
"Senior Manager/Manager, Public Engagement Division (2-Year Contract)",SkillsFuture Singapore,Entry level,Fixed Terms,Closing on 22 Mar 2022,1 week(s) ago
Manager/Assistant Manager (Strategy),Cyber Security Agency of Singapore,Entry level,Permanent,Closing on 31 Mar 2022,1 month(s) ago
"Deputy Director / Asst. Director, Monetary & Domestic Mrkts Mgmt. Dept.",Monetary Authority of Singapore,Entry level,Contract,Closing in 5  day(s),3 week(s) ago
"Oral Health Promoter 3, SDS (2 years contract)",Health Promotion Board,05-07 year(s),Contract,Closing in 2  day(s),1 month(s) ago
(Senior) Data Engineer (Information Management Systems),Centre for Strategic Infocomm Technologies,02-05 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
"Oral Health Promoter 2, SDS (2 years contract)",Health Promotion Board,02-05 year(s),Contract,Closing in 2  day(s),1 month(s) ago
"Analyst / Senior Analyst, Data Office",Civil Service College,Entry level,Permanent,Closing on 19 Mar 2022,1 month(s) ago
Lecturer - Internet of Things (IoT) & Embedded System,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
"Assistant Manager, Corporate Service (SGH)",Ministry Of Social And Family Development,Entry level,Permanent/Contract,Closing on 21 Mar 2022,6 day(s) ago
Senior Manager / Manager (Policy Issuance & Computation) - Contract,Central Provident Fund Board,Entry level,Contract,Closing in 3  day(s),1 week(s) ago
"Procurement Governance Officer (Corporate Services), CSA (Temporary – 1 Year)",Cyber Security Agency of Singapore,02-04 year(s),Casual,Closing on 31 Mar 2022,1 month(s) ago
Manager (Recruitment & Marcom),Military Security Department,Entry level,Permanent,Closing on 31 Dec 2022,1 week(s) ago
Internship - Media (Community Outreach),Ministry of Communications and Information,Entry level,Internship,Closing in 6  day(s),3 day(s) ago
Lecturer - IT Systems & Networks,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Microelectronics,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Research Officer,Military Security Department,Entry level,Permanent,Closing on 31 Dec 2022,1 week(s) ago
Lecturer - Security Systems & Technology,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - IT Applications Development,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer – Data Centre Infrastructure & Operation,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Business Information Systems,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Web Applications,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - DevOps & Cloud Computing Technology,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Cyber & Network Security,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Infocomm Technology,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
"Lecturer - Electronics (IoT, Autonomous Mobile Robot & AI)",Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Data Engineering,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Audio Visual Technology,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Assistant Director (Human Resource),Accountant-General's Department,05-00 year(s),Permanent,Closing on 23 Mar 2022,1 month(s) ago
Lecturer - Games Design & Development,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
"Account Manager, Accounts (Singapore Businesses)",Economic Development Board,02-05 year(s),Permanent,Closing on 31 May 2022,1 month(s) ago
"Senior Associate, Accounts (Conglomerates)",Economic Development Board,02-05 year(s),Permanent,Closing on 31 May 2022,1 month(s) ago
"Senior / Manager, Strategic Planning & Collaborations",Health Promotion Board,Entry level,Permanent,Closing on 31 Mar 2022,1 week(s) ago
Senior Tax Auditor [Goods & Services Tax Division],Inland Revenue Authority of Singapore,Entry level,Permanent/Contract,Closing on 25 Mar 2022,1 month(s) ago
Senior Tax Officer (Registration ) [Goods & Services Tax Division],Inland Revenue Authority of Singapore,Entry level,Permanent/Contract,Closing on 25 Mar 2022,1 month(s) ago
International Tax Relations Officer (ITaRD),Inland Revenue Authority of Singapore,Entry level,Contract,Closing on 25 Mar 2022,1 month(s) ago
Internship - Communications Advance (Photojournalism),Ministry of Communications and Information,Entry level,Internship,Closing in 6  day(s),3 day(s) ago
"Devt Partner, SWITCH/SLINGSHOT (1-year contract)",Enterprise Singapore,Entry level,Contract,Closing on 22 Mar 2022,5 day(s) ago
"Devt Partner, Partnerships Management (SWITCH) (1-year contract)",Enterprise Singapore,Entry level,Contract,Closing on 22 Mar 2022,5 day(s) ago
"Development Partner, Metals, Minerals, Machinery & Materials",Enterprise Singapore,Entry level,Permanent,Closing on 22 Mar 2022,5 day(s) ago
"Manager, Marketing Strategy",Science Centre Board,05-07 year(s),Contract,Closing on 08 Apr 2022,1 month(s) ago
"EXECUTIVE, ADMIN - SCHOOL OF INFOCOMM TECHNOLOGY",Ngee Ann Polytechnic,00-03 year(s),Fixed Terms,Closing on 27 Mar 2022,4 day(s) ago
Internship : Researching Deliberative Tools and Approaches Internationally,"Ministry of Culture, Community and Youth",Entry level,Internship,Closing on 31 Mar 2022,1 month(s) ago
Internship : Citizen Attitudes Towards Partnership and Engagement,"Ministry of Culture, Community and Youth",Entry level,Internship,Closing on 31 Mar 2022,1 month(s) ago
Lecturer – Artificial Intelligence,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Financial Services,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Business Services & Administration,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Business Services,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Airport Services & Human Resource,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Accounting,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Hotel & Food Services,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Pastry & Baking,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Culinary Arts (Asian Cuisine/Western Cuisine),Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Nursing Adjunct Lecturer (Clinical Education) – Sch of Applied & Health Sciences,Institute of Technical Education,Entry level,Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Nursing,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Community Care & Social Services (Rehabilitation Care),Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Interactive Design,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Senior/ IT Manager (Cybersecurity Operations) 4 Yrs Contract,Maritime and Port Authority of Singapore,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
Adjunct Lecturer - School of Design & Media,Institute of Technical Education,Entry level,Contract,Closing in 2  day(s),3 week(s) ago
"Senior Manager, Internal Audit & Risk Advisory Division (2-Year Contract)",SkillsFuture Singapore,Entry level,Fixed Terms,Closing on 28 Mar 2022,1 week(s) ago
"ASSISTANT MANAGER, DEREGISTRATION",Land Transport Authority,05-00 year(s),Contract,Closing on 07 Apr 2022,3 day(s) ago
[UT22B] Education Officer (without teaching qualifications) – PGDE/Dip Ed,Ministry of Education,Entry level,Permanent/Contract,Closing today,4 week(s) ago
"Manager, Logistics, ACE Group",Ministry of Manpower,Entry level,Contract,Closing in 5  day(s),1 week(s) ago
Lecturer - Smart Facility Management,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Precision Engineering - Technical Engineer Diploma,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
"Lecturer - Vertical Transportation (Lift, Escalator & Moving Walks)",Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Urban Greenery and Landscape Management,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Marine Offshore Engineering,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Aerospace Avionics,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Aerospace Technology,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Precision Engineering,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),6 day(s) ago
Lecturer - Automotive Engineering,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Building Mechanical & Electrical Services,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Mechanical Engineering,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Mechatronics Engineering,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Facility Management,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Built Environment Engineering,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Electrical Engineering (Lighting & Sound),Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Electrical Engineering (Electrical Power and Distribution),Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Lecturer - Electrical Engineering,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
SYSTEMS OPERATIONS EXECUTIVE/ASSISTANT,Land Transport Authority,Entry level,Contract,Closing in 5  day(s),1 month(s) ago
Internship : Somerset Belt Project,"Ministry of Culture, Community and Youth",Entry level,Internship,Closing on 31 Mar 2022,1 month(s) ago
Senior Assistant Director (ITAD),Auditor-General's Office,Entry level,Permanent/Contract,Closing on 21 Mar 2022,1 month(s) ago
Senior Associate / Associate (Fiscal Policy),Ministry of Finance,Entry level,Permanent/Contract,Closing in 4  day(s),1 week(s) ago
"Account Manager, Accounts (Family Businesses)",Economic Development Board,03-06 year(s),Permanent,Closing on 08 May 2022,1 month(s) ago
"Assistant Manager/Principal Executive, Data Governance & Security",Singapore Land Authority,03-05 year(s),Permanent/Contract,Closing in 2  day(s),6 day(s) ago
"Assistant Manager, Human Resource Management (11 Months)",National Arts Council,Entry level,Casual,Closing in 6  day(s),1 week(s) ago
"Executive / Senior Executive (Supervision & Compliance), ACD",Ministry of Law,Entry level,Contract,Closing on 03 Apr 2022,1 month(s) ago
"Executive (Enforcement & Investigation), ACD",Ministry of Law,Entry level,Contract,Closing on 03 Apr 2022,1 month(s) ago
"Senior Associate/Manager (Policy & Partnerships, Office for Space Technology & I",Economic Development Board,Entry level,Permanent,Closing on 31 May 2022,1 month(s) ago
Group Director (IT Audit),Auditor-General's Office,Entry level,Permanent/Contract,Closing on 21 Mar 2022,1 month(s) ago
"Personal Assistant to Senior Director, MHA",Ministry of Home Affairs,Entry level,Permanent/Contract,Closing on 22 Feb 2023,1 month(s) ago
"Senior Manager/ Assistant Vice President, Regional Partnerships",Economic Development Board,Entry level,Permanent,Closing on 31 May 2022,1 month(s) ago
"Manager, Regional Partnerships",Economic Development Board,Entry level,Permanent,Closing on 31 May 2022,1 month(s) ago
"MANAGER / DEPUTY MANAGER / ASSISTANT MANAGER, HUMAN RESOURCE (SHARED SERVICES)",Land Transport Authority,02-00 year(s),Contract,Closing on 31 Mar 2022,1 week(s) ago
"Lead Executive, Brand & Communications (Trade)",National Council of Social Service,Entry level,Contract,Closing on 23 Mar 2022,1 month(s) ago
Assistant Director/Senior Assistant Director (Social Service Systems Office),Ministry Of Social And Family Development,Entry level,Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
Senior Manager / Manager / Assistant Manager (Home Care),Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
Senior Manager / Manager / Asst Manager (Centre-Based Care & Social Support),Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
"DEPUTY DIRECTOR, TECHNOLOGY INTEGRATION",Land Transport Authority,13-00 year(s),Contract,Closing on 31 Mar 2022,1 week(s) ago
Assistant Manager (Finance) (6-Months Contract),Ministry of Health,Entry level,Contract,Closing on 05 Apr 2022,6 day(s) ago
Senior / Health Policy Analyst (Subsidy and Subvention),Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
Assistant Director (Subsidy and Subvention),Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
Manager (Operations Technology),Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
Data Analyst (CMTG Call Centre - Reporting and Analysis),Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
Assistant Director (Student Health Centre),Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
Deputy Director (School Health Services),Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
"Sport Performance System Capability Developer, Future Systems",Sport Singapore,Entry level,Permanent/Contract,Closing in 4  day(s),1 week(s) ago
"Sport Performance Analyst, Future Systems",Sport Singapore,Entry level,Permanent/Contract,Closing in 4  day(s),1 week(s) ago
"Project Officer, New Ventures - Venture Capital Division (1 year contract)",Economic Development Board,Entry level,Contract,Closing on 31 May 2022,1 month(s) ago
DEPUTY / ASSISTANT PROGRAMME PLANNING MANAGER,Land Transport Authority,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
Air Traffic Control Officer,Civil Aviation Authority of Singapore,Entry level,Permanent,Closing on 31 Mar 2022,1 month(s) ago
Executive Manager (Geological & Geospatial Development Department),Building and Construction Authority,02-00 year(s),Permanent/Contract,Closing on 31 Mar 2022,4 day(s) ago
Engineer/Senior Engineer (Policy & Regulations Department),Building and Construction Authority,03-05 year(s),Permanent/Contract,Closing on 31 Mar 2022,4 day(s) ago
"Assistant Director, Performance & Rewards (C&B)",Health Promotion Board,Entry level,Permanent,Closing in 2  day(s),1 month(s) ago
"Assistant Director, Admin (Estate)",Health Promotion Board,Entry level,Permanent,Closing on 28 Mar 2022,1 month(s) ago
Cybersecurity Researcher (Red Team),Ministry of Home Affairs,Entry level,Permanent,Closing on 24 Mar 2022,4 day(s) ago
"Assistant Director / Associate, Insurance Supervisory (ID)",Monetary Authority of Singapore,Entry level,Permanent,Closing on 31 Mar 2022,1 week(s) ago
Executive (Human Resource) – Temporary,Accountant-General's Department,Entry level,Contract,Closing on 23 Mar 2022,5 day(s) ago
Internship : Digital Engagement to support the SG Youth Action Plan,"Ministry of Culture, Community and Youth",Entry level,Internship,Closing on 31 Mar 2022,1 month(s) ago
Internship: Campaigns & Production,Ministry of Communications and Information,Entry level,Internship,Closing in 6  day(s),3 day(s) ago
Internship : Research and Policy Development on Youths,"Ministry of Culture, Community and Youth",Entry level,Internship,Closing on 31 Mar 2022,1 month(s) ago
Internship: Campaigns & Production,Ministry of Communications and Information,Entry level,Internship,Closing in 6  day(s),3 day(s) ago
Internship: Campaigns & Production,Ministry of Communications and Information,Entry level,Internship,Closing in 6  day(s),3 day(s) ago
Internship - Campaigns & Production,Ministry of Communications and Information,Entry level,Internship,Closing in 6  day(s),3 day(s) ago
Internship : Innovative engagement and partnership practices in other countries,"Ministry of Culture, Community and Youth",Entry level,Internship,Closing on 31 Mar 2022,1 month(s) ago
"Senior Executive/Assistant Manager, L&D (Economy-Building and Policy Tools)",Civil Service College,Entry level,Permanent,Closing on 31 Mar 2022,1 month(s) ago
Internship : MCCY Data Analytics Solution (MDAS) data exploration,"Ministry of Culture, Community and Youth",Entry level,Internship,Closing on 31 Mar 2022,1 month(s) ago
Internship : Social Studies,"Ministry of Culture, Community and Youth",Entry level,Internship,Closing on 31 Mar 2022,1 month(s) ago
Internship - Engagement and Digital Marketing (REACH),Ministry of Communications and Information,Entry level,Internship,Closing in 6  day(s),3 day(s) ago
"Senior Manager, GeoSpatial Industry Engagement & Development",Singapore Land Authority,Entry level,Permanent/Contract,Closing in 4  day(s),4 day(s) ago
Internship : SG Cares Giving Week 2022 and SG Cares 5th Anniversary Celebrations,"Ministry of Culture, Community and Youth",Entry level,Internship,Closing on 31 Mar 2022,1 month(s) ago
Cyber and Infocomm Technology Security Officers,Military Security Department,Entry level,Permanent,Closing on 31 Dec 2022,1 week(s) ago
Internship : Qualitative analysis of Appeal Board decisions in SSAR,"Ministry of Culture, Community and Youth",Entry level,Internship,Closing on 31 Mar 2022,1 month(s) ago
Internship : Research on Legislative and Case Law Developments on Muslim divorce,"Ministry of Culture, Community and Youth",Entry level,Internship,Closing on 31 Mar 2022,1 month(s) ago
"Assistant Director/Manager - Technology, Research & Development (1 Year Contract",Ministry of National Development,03-05 year(s),Contract,Closing in 6  day(s),1 week(s) ago
"Internship : Study of online insights and behaviour, creative content production","Ministry of Culture, Community and Youth",Entry level,Internship,Closing on 31 Mar 2022,1 month(s) ago
Internship : Internal Audit Work Attachment,"Ministry of Culture, Community and Youth",Entry level,Internship,Closing on 31 Mar 2022,1 month(s) ago
"EXECUTIVE, ADMIN - STUDENT & ALUMNI SERVICES OFFICE",Ngee Ann Polytechnic,01-03 year(s),Contract,Closing on 20 Mar 2022,1 week(s) ago
French Language Classroom Teacher,Ministry of Education,Entry level,Contract,Closing in 2  day(s),3 week(s) ago
"Project Officer, HROD Talent Performance Rewards (1 year contract)",Economic Development Board,02-04 year(s),Contract,Closing on 09 May 2022,1 month(s) ago
Senior Manager/Manager (Service Quality Management) - Contract,Central Provident Fund Board,Entry level,Contract,Closing in 2  day(s),2 week(s) ago
"Senior Business Partner, Enterprise Academy",Enterprise Singapore,Entry level,Permanent,Closing on 25 Mar 2022,3 day(s) ago
"Senior Executive/Principal Executive/Assistant Manager, Projects Management",Singapore Land Authority,Entry level,Permanent/Contract,Closing in 4  day(s),4 day(s) ago
Active Health Coach (Active Health Lab),Sport Singapore,Entry level,Fixed Terms,Closing in 3  day(s),1 week(s) ago
"Senior Business Partner / Business Partner, Business & Trade Insights",Enterprise Singapore,Entry level,Permanent,Closing on 31 Mar 2022,1 week(s) ago
Chief Information Security Officer (GovTech Technology Management Office),Government Technology Agency,Entry level,Permanent,Closing on 08 Feb 2023,1 month(s) ago
Manager / Senior Manager (Internal Audit),Casino Regulatory Authority,Entry level,Permanent/Contract,Closing on 26 Mar 2022,2 day(s) ago
"Assistant Director, Kallang Alive & Land Management",Sport Singapore,Entry level,Permanent/Contract,Closing in 4  day(s),1 week(s) ago
Full Stack Developer,Info-communications Media Development Authority,Entry level,Permanent/Contract,Closing on 25 Mar 2022,3 day(s) ago
"Temporary Assistant, Special Projects & Travelling Exhibitions",Science Centre Board,Entry level,Contract,Closing on 08 Apr 2022,6 day(s) ago
Associate / Senior Executive (Salaries & Pensions) – Contract,Accountant-General's Department,Entry level,Permanent/Contract,Closing on 23 Mar 2022,5 day(s) ago
"Senior/Technical Executive (Space Management Dept, Ops Team)",Maritime and Port Authority of Singapore,Entry level,Permanent,Closing on 31 Mar 2022,1 week(s) ago
DevOps Engineer,Info-communications Media Development Authority,Entry level,Permanent/Contract,Closing on 25 Mar 2022,3 day(s) ago
Executive (Temporary) – Human Resource,Accountant-General's Department,Entry level,Contract,Closing on 23 Mar 2022,5 day(s) ago
Analyst/Senior Analyst (Environmental Microbiology) – Contract,National Environment Agency,Entry level,Contract,Closing in 5  day(s),1 week(s) ago
Manager / Assistant Manager (Arrears Management),JTC Corporation,02-10 year(s),Permanent/Contract,Closing on 01 Apr 2022,1 week(s) ago
"Lead / Senior Lead, Infrastructure Asia (Markets)",Enterprise Singapore,Entry level,Permanent,Closing in 5  day(s),1 week(s) ago
"Assistant/Deputy Manager (Network, Systems & Cloud)",Temasek Polytechnic,05-20 year(s),Permanent/Contract,Closing on 30 Apr 2022,1 week(s) ago
"Growth Lead (Assistant Director), OI Platform & PIXEL Products",Info-communications Media Development Authority,Entry level,Permanent/Contract,Closing on 24 Mar 2022,3 week(s) ago
"[Summer Intern] Graphic Designer, Corporate Website Revamp (CCE)",Civil Service College,Entry level,Internship,,
Planner (Physical Planning),Urban Redevelopment Authority,Entry level,Permanent/Contract,Closing on 31 Mar 2022,1 month(s) ago
"Senior/Assistant Director (Compensation), HR Division",Ministry of Trade and Industry,03-15 year(s),Permanent/Contract,Closing on 19 Mar 2022,3 week(s) ago
Manager / Deputy Manager / Assistant Manager (Markets Policy & Development),Civil Aviation Authority of Singapore,03-10 year(s),Contract,,
[Summer Intern] Graphic Design Intern (CCE),Civil Service College,Entry level,Internship,,
"Project Officer, Digital Industry Singapore (1 year contract)",Economic Development Board,Entry level,Contract,,
EDB Internship Programme 2022,Economic Development Board,Entry level,Internship,,
Executive (Quality Service),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Senior Manager / Manager / Assistant Manager (Successful Ageing 1),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Senior Manager / Manager (Hub Strategy & Connectivity),Civil Aviation Authority of Singapore,03-10 year(s),Contract,,
"Principal / Senior / Manager, Customer Operations (Services Sector) - WPD",Ministry of Manpower,Entry level,Permanent/Contract,Closing on 31 Mar 2022,5 day(s) ago
Senior Executive/Assistant Manager/Manager (1 year contract),Maritime and Port Authority of Singapore,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
Manager (Jobs & Skills - JS1),Info-communications Media Development Authority,Entry level,Permanent/Contract,Closing on 21 Mar 2022,1 week(s) ago
Senior Engineer/Engineer (Aviation Technology & Development),Civil Aviation Authority of Singapore,00-10 year(s),Contract,,
[Summer Intern] Digital Content Intern (CCE),Civil Service College,Entry level,Internship,,
"Business Analyst (Manager), Customer Systems Branch (Work Pass Division)",Ministry of Manpower,Entry level,Permanent/Contract,Closing on 31 Mar 2022,6 day(s) ago
Counsellor,Temasek Polytechnic,05-10 year(s),Contract,Closing on 03 Apr 2022,1 week(s) ago
[Summer Intern] Machine Learning Intern (IPAM - Digital Capabilities),Civil Service College,Entry level,Internship,,
Manager/Senior Manager - Data Analysis & Planning,National Council of Social Service,Entry level,Contract,Closing on 23 Mar 2022,1 month(s) ago
"Senior / Assistant Director - Capability Building, Corporate Engagement Center,",Ministry of Manpower,Entry level,Contract,Closing on 24 Mar 2022,1 week(s) ago
[Summer Intern] L&D Intern (IPAM - Public Finance Law),Civil Service College,Entry level,Internship,,
"Assistant Manager (Social Service Office), SDCD - (6 months contract)",Ministry Of Social And Family Development,Entry level,Contract,Closing in 3  day(s),1 week(s) ago
Architect (Urban Design),Urban Redevelopment Authority,Entry level,Permanent/Contract,Closing on 31 Mar 2022,1 month(s) ago
"Associate/Senior Associate, Marine & Offshore (Contract)",Enterprise Singapore,Entry level,Contract,Closing in 2  day(s),2 week(s) ago
"Development Partner / Senior Development Partner, Engineering Services",Enterprise Singapore,Entry level,Permanent,Closing in 4  day(s),1 week(s) ago
"(Snr) Development Partner, Marine Offshore & Engineering Services",Enterprise Singapore,Entry level,Permanent,Closing in 4  day(s),1 week(s) ago
HAS (ICA) Direct-Entry Sergeant,MHA - Immigration & Checkpoints Authority (ICA),Entry level,Permanent/Contract,,
"Project Officer, Events & Community Outreach",Science Centre Board,02-03 year(s),Contract,Closing on 08 Apr 2022,6 day(s) ago
"Assistant Director, Industry Development (Financial Services Sector) [CPSD]",Workforce Singapore,05-08 year(s),Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
"Manager/Senior Manager Data Transformation, Data Strategy & Governance",Sport Singapore,05-08 year(s),Contract,Closing on 23 Mar 2022,5 day(s) ago
Statistician/Assistant Director (Machine Learning),Department of Statistics,Entry level,Contract,Closing in 5  day(s),3 week(s) ago
[Summer Intern] Research Intern (IGP),Civil Service College,Entry level,Internship,,
Cyber Intelligence Analyst,Ministry of Home Affairs,Entry level,Permanent,Closing on 23 Mar 2022,5 day(s) ago
"SENIOR LECTURER / LECTURER, BUILDING DIGITALIZATION & MANAGEMENT  – SCHOOL OF DE",Ngee Ann Polytechnic,03-05 year(s),Fixed Terms,Closing on 20 Mar 2022,1 week(s) ago
"SENIOR EXECUTIVE, DIGITAL TRANSFORMATION (UI/UX) - COMPUTER CENTRE",Ngee Ann Polytechnic,03-05 year(s),Contract,Closing on 20 Mar 2022,1 week(s) ago
[Summer Internship] Data Engineering Intern (Data Office),Civil Service College,Entry level,Internship,Closing on 31 Mar 2022,1 month(s) ago
[Summer Intern] Research & Engagement Intern (INEX),Civil Service College,Entry level,Internship,,
"[Summer Intern] L&D/ Research Intern, Foundational Competencies (IPAM IFC)",Civil Service College,Entry level,Internship,,
[Summer Intern] L&D Intern (IPSL),Civil Service College,Entry level,Internship,,
[Summer Intern] Website Copywriter (CCE),Civil Service College,Entry level,Internship,,
"Digital Product Manager, Digital Experience, Career Services Project Office",Workforce Singapore,Entry level,Fixed Terms,Closing on 22 Mar 2022,5 day(s) ago
"Deputy Director (Training, Doctrine and Preparation) (1-Year Contract)",Ministry of Health,Entry level,Contract,Closing in 2  day(s),4 week(s) ago
Senior Manager / Manager (Operations Monitoring) (1-Year Contract),Ministry of Health,Entry level,Contract,Closing in 2  day(s),4 week(s) ago
Manager/Senior Manager (Customer Insights Analyst),Workforce Singapore,Entry level,Fixed Terms,Closing on 22 Mar 2022,5 day(s) ago
Manager/Senior Manager (Strategy & Digital Economy),Info-communications Media Development Authority,Entry level,Permanent/Contract,Closing in 4  day(s),1 week(s) ago
"Snr AD/AD (OD, HR Tech & CM), CSD #SGUnitedJobs",Attorney-General's Chambers,Entry level,Permanent/Contract,Closing in 3  day(s),1 week(s) ago
"Manager / Senior Manager, Public Communications and Engagement (2-year contract)",SkillsFuture Singapore,Entry level,Fixed Terms,Closing on 22 Mar 2022,1 week(s) ago
"Nurse Manager, National Immunisation Registry (1 Year contract)",Health Promotion Board,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
